,id,firstname,surname,born,died,bornCountry,bornCountryCode,bornCity,diedCountry,diedCountryCode,diedCity,gender,year,category,overallMotivation,share,motivation,name,city,country,bornYear
135,276,Richard R.,Ernst,14.08.33,,Switzerland,CH,Winterthur,,,,male,1991,chemistry,,1,"""for his contributions to the development of the methodology of high resolution nuclear magnetic resonance (NMR) spectroscopy""",Eidgen_ssische Technische Hochschule (Swiss Federal Institute of Technology),Zurich,Switzerland,1933
136,240,Gerhard,Herzberg,25.12.04,03.03.99,Germany,DE,Hamburg,Canada,CA,Ottawa,male,1971,chemistry,,1,"""for his contributions to the knowledge of electronic structure and geometry of molecules, particularly free radicals""",National Research Council of Canada,Ottawa,Canada,1904
137,701,Robert M.,Solow,23.08.24,,USA,US,"Brooklyn, NY",,,,male,1987,economics,,1,"""for his contributions to the theory of economic growth""",Massachusetts Institute of Technology (MIT),"Cambridge, MA",USA,1924
138,277,Rudolph A.,Marcus,21.07.23,,Canada,CA,Montreal,,,,male,1992,chemistry,,1,"""for his contributions to the theory of electron transfer reactions in chemical systems""",California Institute of Technology (Caltech),"Pasadena, CA",USA,1923
139,88,Hans Albrecht,Bethe,02.07.06,03.06.05,Germany (now France),FR,Strassburg (now Strasbourg),USA,US,"Ithaca, NY",male,1967,physics,,1,"""for his contributions to the theory of nuclear reactions, especially his discoveries concerning the energy production in stars""",Cornell University,"Ithaca, NY",USA,1906
140,78,Eugene Paul,Wigner,17.11.02,01.01.95,Austria-Hungary (now Hungary),HU,Budapest,USA,US,"Princeton, NJ",male,1963,physics,,2,"""for his contributions to the theory of the atomic nucleus and the elementary particles, particularly through the discovery and application of fundamental symmetry principles""",Princeton University,"Princeton, NJ",USA,1902
141,719,Amartya,Sen,03.11.33,,India,IN,Santiniketan,,,,male,1998,economics,,1,"""for his contributions to welfare economics""",Trinity College,Cambridge,United Kingdom,1933
143,89,Luis Walter,Alvarez,13.06.11,09.01.88,USA,US,"San Francisco, CA",USA,US,"Berkeley, CA",male,1968,physics,,1,"""for his decisive contributions to elementary particle physics, in particular the discovery of a large number of resonance states, made possible through his development of the technique of using hydrogen bubble chamber and data analysis""",University of California,"Berkeley, CA",USA,1911
144,613,Frans Eemil,Sillanp__,1888-09-16,06.03.64,Russian Empire (now Finland),FI,H_meenkyr_,Finland,FI,Helsinki,male,1939,literature,,1,"""for his deep understanding of his country's peasantry and the exquisite art with which he has portrayed their way of life and their relationship with Nature""",,,,1888
145,182,Richard Adolf,Zsigmondy,1865-04-01,9/24/2029,Austrian Empire (now Austria),AT,Vienna,Germany,DE,G_ttingen,male,1925,chemistry,,1,"""for his demonstration of the heterogenous nature of colloid solutions and for the methods he used, which have since become fundamental in modern colloid chemistry""",Goettingen University,G_ttingen,Germany,1865
146,60,Frits,Zernike,1888-07-16,03.10.66,the Netherlands,NL,Amsterdam,the Netherlands,NL,Groningen,male,1953,physics,,1,"""for his demonstration of the phase contrast method, especially for his invention of the phase contrast microscope""",Groningen University,Groningen,the Netherlands,1888
147,46,Enrico,Fermi,29.09.01,11/28/1954,Italy,IT,Rome,USA,US,"Chicago, IL",male,1938,physics,,1,"""for his demonstrations of the existence of new radioactive elements produced by neutron irradiation, and for his related discovery of nuclear reactions brought about by slow neutrons""",Rome University,Rome,Italy,1901
148,291,John A.,Pople,31.10.25,3/15/2004,United Kingdom,GB,Burnham-on-Sea,USA,US,"Chicago, IL",male,1998,chemistry,,2,"""for his development of computational methods in quantum chemistry""",Northwestern University,"Evanston, IL",USA,1925
149,259,Aaron,Klug,11.08.26,,Lithuania,LT,Zelvas,,,,male,1982,chemistry,,1,"""for his development of crystallographic electron microscopy and his structural elucidation of biologically important nucleic acid-protein complexes""",MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,1926
150,261,Robert Bruce,Merrifield,15.07.21,5/14/2006,USA,US,"Fort Worth, TX",USA,US,"Cresskill, NJ",male,1984,chemistry,,1,"""for his development of methodology for chemical synthesis on a solid matrix""",Rockefeller University,"New York, NY",USA,1921
151,758,Kurt,Wôthrich,04.10.38,,Switzerland,CH,Aarberg,,,,male,2002,chemistry,"""for the development of methods for identification and structure analyses of biological macromolecules""",2,"""for his development of nuclear magnetic resonance spectroscopy for determining the three-dimensional structure of biological macromolecules in solution""",The Scripps Research Institute,"La Jolla, CA",USA,1938
152,758,Kurt,Wôthrich,04.10.38,,Switzerland,CH,Aarberg,,,,male,2002,chemistry,"""for the development of methods for identification and structure analyses of biological macromolecules""",2,"""for his development of nuclear magnetic resonance spectroscopy for determining the three-dimensional structure of biological macromolecules in solution""",Eidgen_ssische Technische Hochschule (Swiss Federal Institute of Technology),Zurich,Switzerland,1938
153,700,James M.,Buchanan Jr.,03.10.19,01.09.13,USA,US,"Murfreesboro, TN",USA,US,"Blacksburg, VA",male,1986,economics,,1,"""for his development of the contractual and constitutional bases for the theory of economic and political decision-making""",Center for Study of Public Choice,"Fairfax, VA",USA,1919
154,290,Walter,Kohn,09.03.23,4/19/2016,Austria,AT,Vienna,USA,US,"Santa Barbara, CA",male,1998,chemistry,,2,"""for his development of the density-functional theory""",University of California,"Santa Barbara, CA",USA,1923
155,55,Cecil Frank,Powell,05.12.03,08.09.69,United Kingdom,GB,Tonbridge,Italy,IT,,male,1950,physics,,1,"""for his development of the photographic method of studying nuclear processes and his discoveries regarding mesons made with this method""",Bristol University,Bristol,United Kingdom,1903
156,275,Elias James,Corey,12.07.28,,USA,US,"Methuen, MA",,,,male,1990,chemistry,,1,"""for his development of the theory and methodology of organic synthesis""",Harvard University,"Cambridge, MA",USA,1928
157,53,Patrick Maynard Stuart,Blackett,1897-11-18,7/13/1974,United Kingdom,GB,London,United Kingdom,GB,London,male,1948,physics,,1,"""for his development of the Wilson cloud chamber method, and his discoveries therewith in the fields of nuclear physics and cosmic radiation""",Victoria University,Manchester,United Kingdom,1897
158,733,Daniel L.,McFadden,29.07.37,,USA,US,"Raleigh, NC",,,,male,2000,economics,,2,"""for his development of theory and methods for analyzing discrete choice""",University of California,"Berkeley, CA",USA,1937
159,732,James J.,Heckman,19.04.44,,USA,US,"Chicago, IL",,,,male,2000,economics,,2,"""for his development of theory and methods for analyzing selective samples""",University of Chicago,"Chicago, IL",USA,1944
160,191,Irving,Langmuir,1881-01-31,8/16/1957,USA,US,"Brooklyn, NY",USA,US,"Falmouth, MA",male,1932,chemistry,,1,"""for his discoveries and investigations in surface chemistry""",General Electric Company,"Schenectady, NY",USA,1881
161,29,Karl Manne Georg,Siegbahn,1886-12-03,9/26/1978,Sweden,SE,Lund,Sweden,SE,óngelholm,male,1924,physics,,45,"""for his discoveries and research in the field of X-ray spectroscopy""",Uppsala University,Uppsala,Sweden,1886
162,366,Joshua,Lederberg,23.05.25,02.02.08,USA,US,"Montclair, NJ",USA,US,"New York, NY",male,1958,medicine,,2,"""for his discoveries concerning genetic recombination and the organization of the genetic material of bacteria""",University of Wisconsin,"Madison, WI",USA,1925
163,384,Charles Brenton,Huggins,22.09.01,01.12.97,Canada,CA,Halifax,USA,US,"Chicago, IL",male,1966,medicine,,2,"""for his discoveries concerning hormonal treatment of prostatic cancer""","University of Chicago, Ben May Laboratory for Cancer Research","Chicago, IL",USA,1901
164,63,Willis Eugene,Lamb,12.07.13,5/15/2008,USA,US,"Los Angeles, CA",USA,US,"Tucson, AZ",male,1955,physics,,2,"""for his discoveries concerning the fine structure of the hydrogen spectrum""",Stanford University,"Stanford, CA",USA,1913
165,422,Roger W.,Sperry,19.08.13,4/17/1994,USA,US,"Hartford, CT",USA,US,"Pasadena, CA",male,1981,medicine,,2,"""for his discoveries concerning the functional specialization of the cerebral hemispheres""",California Institute of Technology (Caltech),"Pasadena, CA",USA,1913
166,397,Earl W.,"Sutherland, Jr.",19.11.15,03.09.74,USA,US,"Burlingame, KS",USA,US,"Miami, FL",male,1971,medicine,,1,"""for his discoveries concerning the mechanisms of the action of hormones""",Vanderbilt University,"Nashville, TN",USA,1915
167,359,Axel Hugo Theodor,Theorell,06.07.03,8/15/1982,Sweden,SE,Link_ping,Sweden,SE,Stockholm,male,1955,medicine,,1,"""for his discoveries concerning the nature and mode of action of oxidation enzymes""","Karolinska Institutet, Nobel Medical Institute",Stockholm,Sweden,1903
168,325,Thomas Hunt,Morgan,1866-09-25,12.04.45,USA,US,"Lexington, KY",USA,US,"Pasadena, CA",male,1933,medicine,,1,"""for his discoveries concerning the role played by the chromosome in heredity""",California Institute of Technology (Caltech),"Pasadena, CA",USA,1866
169,352,Max,Theiler,1899-01-30,08.11.72,South Africa,ZA,Pretoria,USA,US,"New Haven, CT",male,1951,medicine,,1,"""for his discoveries concerning yellow fever and how to combat it""","Laboratories of the Division of Medicine and Public Health, Rockefeller Foundation","New York, NY",USA,1899
170,332,Albert,von Szent-Gy_rgyi Nagyrpolt,1893-09-16,10/22/1986,Austria-Hungary (now Hungary),HU,Budapest,USA,US,"Woods Hole, MA",male,1937,medicine,,1,"""for his discoveries in connection with the biological combustion processes, with special reference to vitamin C and the catalysis of fumaric acid""",Szeged University,Szeged,Hungary,1893
171,216,Hermann,Staudinger,1881-03-23,09.08.65,Germany,DE,Worms,West Germany (now Germany),DE,Freiburg im Breisgau,male,1953,chemistry,,1,"""for his discoveries in the field of macromolecular chemistry""",University of Freiburg,Breisgau,Federal Republic of Germany,1881
172,216,Hermann,Staudinger,1881-03-23,09.08.65,Germany,DE,Worms,West Germany (now Germany),DE,Freiburg im Breisgau,male,1953,chemistry,,1,"""for his discoveries in the field of macromolecular chemistry""","Staatliches Institut fôr makromolekulare Chemie (State Research Institute for Macromolecular Chemistry), Freiburg",Breisgau,Federal Republic of Germany,1881
173,927,Yoshinori,Ohsumi,,,Japan,JP,Fukuoka,,,,male,2016,medicine,,1,"""for his discoveries of mechanisms for autophagy""",Tokyo Institute of Technology,Tokyo,Japan,
174,371,Georg,von B_k_sy,1899-06-03,6/13/1972,Hungary,HU,Budapest,USA,US,"Honolulu, HI",male,1961,medicine,,1,"""for his discoveries of the physical mechanism of stimulation within the cochlea""",Harvard University,"Cambridge, MA",USA,1899
175,16,Wilhelm,Wien,1864-01-13,8/30/1928,Prussia (now Russia),RU,Gaffken (now Parusnoye),Germany,DE,Munich,male,1911,physics,,1,"""for his discoveries regarding the laws governing the radiation of heat""",Wôrzburg University,Wôrzburg,Germany,1864
176,309,Jules,Bordet,1870-06-13,04.06.61,Belgium,BE,Soignies,Belgium,BE,Brussels,male,1919,medicine,,1,"""for his discoveries relating to immunity""",Brussels University,Brussels,Belgium,1870
177,363,Daniel,Bovet,23.03.07,04.08.92,Switzerland,CH,Neuchtel,Italy,IT,Rome,male,1957,medicine,,1,"""for his discoveries relating to synthetic compounds that inhibit the action of certain body substances, and especially their action on the vascular system and the skeletal muscles""",Istituto Superiore di Sanit (Chief Institute of Public Health),Rome,Italy,1907
178,707,Ronald H.,Coase,29.12.10,09.02.13,United Kingdom,GB,Willesden,USA,US,"Chicago, IL",male,1991,economics,,1,"""for his discovery and clarification of the significance of transaction costs and property rights for the institutional structure and functioning of the economy""",University of Chicago,"Chicago, IL",USA,1910
179,223,Jaroslav,Heyrovsky,1890-12-20,3/27/1967,Austria-Hungary (now Czech Republic),CZ,Prague,Czechoslovakia,CZ,Prague,male,1959,chemistry,,1,"""for his discovery and development of the polarographic methods of analysis""",Polarographic Institute of the Czechoslovak Academy of Science,Prague,Czechoslovakia,1890
180,355,Fritz Albert,Lipmann,1899-06-12,7/24/1986,Germany (now Russia),RU,Koenigsberg (now Kaliningrad),USA,US,"Poughkeepsie, NY",male,1953,medicine,,2,"""for his discovery of co-enzyme A and its importance for intermediary metabolism""",Harvard Medical School,"Boston, MA",USA,1899
181,355,Fritz Albert,Lipmann,1899-06-12,7/24/1986,Germany (now Russia),RU,Koenigsberg (now Kaliningrad),USA,US,"Poughkeepsie, NY",male,1953,medicine,,2,"""for his discovery of co-enzyme A and its importance for intermediary metabolism""",Massachusetts General Hospital,"Boston, MA",USA,1899
182,42,Victor Franz,Hess,1883-06-24,12/17/1964,Austria,AT,Peggau,USA,US,"Mount Verno, NY",male,1936,physics,,2,"""for his discovery of cosmic radiation""",Innsbruck University,Innsbruck,Austria,1883
183,192,Harold Clayton,Urey,1893-04-29,01.05.81,USA,US,"Walkerton, IN",USA,US,"La Jolla, CA",male,1934,chemistry,,1,"""for his discovery of heavy hydrogen""",Columbia University,"New York, NY",USA,1893
184,321,Karl,Landsteiner,1868-06-14,6/26/1943,Austrian Empire (now Austria),AT,Vienna,USA,US,"New York, NY",male,1930,medicine,,1,"""for his discovery of human blood groups""",Rockefeller Institute for Medical Research,"New York, NY",USA,1868
185,823,Harald,zur Hausen,11.03.36,,Germany,DE,Gelsenkirchen,,,,male,2008,medicine,,2,"""for his discovery of human papilloma viruses causing cervical cancer""",German Cancer Research Center,Heidelberg,Germany,1936
186,457,Stanley B.,Prusiner,28.05.42,,USA,US,"Des Moines, IA",,,,male,1997,medicine,,1,"""for his discovery of Prions - a new biological principle of infection""",University of California School of Medicine,"San Francisco, CA",USA,1942
187,353,Selman Abraham,Waksman,1888-07-22,8/16/1973,Russian Empire (now Ukraine),UA,Priluka (now Nova Pryluka),USA,US,"Hyannis, MA",male,1952,medicine,,1,"""for his discovery of streptomycin, the first antibiotic effective against tuberculosis""",Rutgers University,"New Brunswick, NJ",USA,1888
